NOME STRUTTURA;INDIRIZZO;TIPO STRUTTURA;Note
NICOLIS RENZO – GIULIETTA E ROMEO;C.SO VITTORIO EMANUELE II 64 – VILLAFRANCA DI VERONA ;Locazioni turistiche;
CREMONESI GIANBATTISTA  - CASA DAEL;P.TTA LINO TOSONI 2 – VILLAFRANCA DI VERONA ;Locazioni turistiche;
CREMONESI GIANBATTISTA – CASA ROSE;P.TTA LINO TOSONI 12 – VILLAFRANCA DI VERONA ;Locazioni turistiche;
BAZZONI PAOLA – LOVELY CASA PAOLA;VIA TIONE 2 - VILLAFRANCA DI VERONA ;Locazioni turistiche;
SERPELLONI FRANCO ;LOC. CASA LOURDES 8 – VILLAFRANCA DI VERONA;Locazioni turistiche;
MASSAGRANDE LORENZO;VIA CUSTOZA 10 - VILLAFRANCA DI VERONA ;Locazioni turistiche;
ZAMBELLI DOMENICO;VIA  MADONNINA 39 –  DOSSOBUONO DI VILLAFRANCA DI VR;Locazioni turistiche;
MASSAGRANDE LINO – CASA MIA;VIA NINO BIXIO 217 – VILLAFRANCA DI VERONA;Locazioni turistiche;
MASSAGRANDE LINO ;VIA QUADRATO 2 A – VILLAFRANCA DI VERONA;Locazioni turistiche;
MOLINARI ALESSANDRA – RESIDENZA ALESSANDRA;STR. LA RIZZA 156 - ALPO DI VILLAFRANCA DI VERONA;Locazioni turistiche;
ZAMBONI FRANCESCO;VIA SOMMACAMPAGNA 72 – VILLAFRANCA DI VERONA;Locazioni turistiche;
VISCO NICOLA;VIA NINO BIXIO 149 – VILLAFRANCA DI VERONA;Locazioni turistiche;
FAUCI GIOVANNI BATTISTA ;VIA TAMBURINO SARDO 18  – VILLAFRANCA DI VERONA;Locazioni turistiche;
POLI ALESSANDRA – AZ. AGR. CORTE COMOTTO;VIA COMOTTO 62 – ALPO DI VILLAFRANCA DI VERONA;Agricampeggio;
BURLINI FRANCESCO ;VIA PORTA 16 -  VILLAFRANCA DI VERONA;Agricampeggio;
OASI GOLF SRL – LE VIGNE;LOC. CASELLA 34 – VILLAFRANCA DI VERONA;Affittacamere;
OASI GOLF SRL – APPARTAMENTI GIULIANA;LOC. CASELLA 34 – VILLAFRANCA DI VERONA;Unità abitative;
OASI GOLF SRL – ALLOGGIO TURISTICO LE VIGNE;LOC. CASELLA 34 – VILLAFRANCA DI VERONA;Unità abitative;
BRUNELLI RINO E LUIGI SOC. AGR. ;LOC. CASA LOURDES 13 – VILLAFRANCA DI VERONA;Turismo rurale;
AZ. AGR. LA GHIDINA;VIA CADELLORA 10 – ALPO VILLAFRANCA DI VERONA;Turismo rurale;
;;;
